,RANK_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
0,1,Andre Drummond,CHI,30,36,15,21,15.7,110.4,112.0,-1.6,5.5,0.5,6.5,20.0,33.3,26.2,13.0,52.2,54.0,20.6,98.17,15.2,1149
1,1,Christian Braun,DEN,22,36,25,11,19.8,107.0,110.4,-3.4,12.7,2.33,17.7,3.4,13.4,8.4,7.6,51.7,55.4,17.1,99.4,9.2,1472
2,1,Coby White,CHI,23,36,15,21,34.9,113.7,115.5,-1.8,20.5,2.42,21.5,1.2,11.1,6.1,8.9,53.9,57.0,21.9,97.07,9.8,2541
3,1,Jevon Carter,CHI,28,36,15,21,14.6,108.9,106.6,2.3,12.2,2.25,16.7,0.7,4.2,2.4,7.4,46.0,46.3,17.7,98.45,4.4,1076
4,1,"Michael Porter Jr,",DEN,25,36,25,11,31.2,121.8,112.0,9.8,6.0,1.34,8.8,4.3,19.5,11.9,6.6,57.6,58.8,19.9,97.91,10.4,2306
5,1,Patrick Williams,CHI,22,36,15,21,27.4,113.5,113.7,-0.2,7.4,1.18,12.6,4.0,10.5,7.2,10.7,53.4,55.9,16.0,97.51,7.0,2012
6,1,Reggie Jackson,DEN,33,36,25,11,23.6,113.1,111.4,1.7,27.0,2.93,26.2,1.4,7.2,4.4,9.0,53.6,55.2,22.1,99.86,9.8,1771
7,8,Austin Reaves,LAL,25,35,17,18,29.6,110.9,114.3,-3.4,25.1,2.23,25.7,3.2,11.3,7.4,11.5,55.6,61.0,20.8,101.84,11.7,2202
8,8,Bobby Portis,MIL,28,35,25,10,23.9,121.0,116.8,4.2,6.2,1.18,8.7,7.3,20.3,13.9,7.4,55.0,57.2,20.1,102.55,10.3,1786
9,8,Brook Lopez,MIL,35,35,25,10,31.1,117.4,112.9,4.6,5.7,1.47,10.3,4.9,10.1,7.6,7.0,56.0,59.0,15.6,104.25,7.9,2367
10,8,Cameron Payne,MIL,29,35,25,10,15.7,116.0,115.3,0.7,20.2,3.07,29.5,0.6,6.5,3.7,9.6,57.0,60.7,15.8,101.33,7.2,1157
11,8,Collin Sexton,UTA,25,35,16,19,23.7,113.9,117.5,-3.6,24.5,2.1,19.8,3.6,7.5,5.5,9.5,52.4,59.6,25.5,101.53,11.6,1761
12,8,Day'Ron Sharpe,BKN,22,35,15,20,16.2,115.9,107.6,8.3,12.1,1.32,16.2,16.6,24.6,20.6,12.3,58.2,59.6,18.0,100.42,13.5,1186
13,8,Dyson Daniels,NOP,20,35,21,14,22.4,112.9,110.2,2.7,15.0,2.65,27.0,4.3,12.3,8.3,10.2,47.6,50.3,13.0,101.31,7.7,1646
14,8,Jonas Valanciunas,NOP,31,35,21,14,27.2,119.2,113.8,5.5,12.0,1.58,15.9,9.3,26.7,18.3,10.1,60.6,64.1,19.6,99.27,13.6,1970
15,8,Mikal Bridges,BKN,27,35,15,20,34.0,113.5,116.0,-2.6,16.9,1.6,15.3,2.6,11.7,7.1,9.6,51.2,56.2,25.2,99.61,11.2,2471
16,8,Nikola Jokic,DEN,28,35,24,11,33.5,124.0,111.5,12.5,40.3,3.28,28.3,9.3,27.1,18.4,8.6,59.7,63.9,29.3,98.22,21.2,2409
17,8,Ochai Agbaji,UTA,23,35,16,19,20.8,109.7,114.7,-5.0,6.7,1.44,13.7,3.6,7.5,5.6,9.5,55.9,56.6,12.7,100.79,5.8,1531
18,19,Ausar Thompson,DET,20,34,3,31,24.9,103.4,116.7,-13.3,12.8,1.42,17.4,8.5,18.9,13.5,12.2,47.6,50.4,17.0,102.31,8.4,1789
19,19,Ayo Dosunmu,CHI,23,34,15,19,22.7,108.8,113.1,-4.3,12.2,2.29,18.7,2.9,7.8,5.2,8.2,52.4,54.5,15.3,97.89,6.8,1573
20,19,Cade Cunningham,DET,22,34,3,31,35.1,109.7,119.6,-9.9,33.1,1.9,23.1,1.3,10.4,5.8,12.1,49.6,54.3,29.5,101.47,11.5,2521
21,19,Cedi Osman,SAS,28,34,5,29,18.4,106.2,123.1,-16.9,14.7,3.14,21.4,1.6,10.8,6.1,6.8,55.8,57.4,15.8,104.46,7.5,1366
22,19,Dario Saric,GSW,29,34,16,18,20.4,114.1,109.4,4.7,15.3,1.78,18.2,7.3,19.7,13.5,10.2,57.0,61.1,19.5,100.3,12.4,1453
23,19,DeMar DeRozan,CHI,34,34,14,20,36.5,111.0,116.2,-5.2,23.5,3.85,20.2,1.6,9.1,5.2,5.3,49.1,56.4,24.6,98.09,12.4,2536
24,19,Dennis Schroder,TOR,30,34,14,20,32.0,114.4,114.3,0.1,29.3,4.16,32.2,1.5,7.4,4.4,7.7,50.7,55.3,19.4,100.34,9.9,2278
25,19,"Derrick Jones Jr,",DAL,26,34,19,15,25.3,114.4,114.4,0.0,5.3,1.13,9.6,4.8,8.8,6.8,8.5,56.5,59.3,15.4,102.66,7.4,1842
26,19,Donte DiVincenzo,NYK,26,34,19,15,21.4,117.5,118.6,-1.1,12.5,1.86,16.9,3.3,10.7,6.9,9.1,62.4,63.5,17.7,101.27,9.5,1535
27,19,Franz Wagner,ORL,22,34,19,15,33.4,110.1,108.7,1.3,18.8,2.1,16.0,3.1,14.2,8.6,7.7,50.9,56.1,25.4,100.96,13.6,2387
28,19,Georges Niang,CLE,30,34,19,15,22.0,111.6,114.3,-2.6,7.4,1.38,11.8,1.7,14.0,8.0,8.5,50.6,52.0,17.1,99.44,5.8,1554
29,19,Giannis Antetokounmpo,MIL,29,34,24,10,35.0,121.5,113.8,7.6,27.4,1.6,17.5,7.6,23.2,15.8,11.0,62.0,65.0,32.2,104.07,19.5,2577
30,19,Isaiah Hartenstein,NYK,25,34,19,15,23.3,118.9,113.0,5.9,8.9,1.68,22.0,13.5,17.3,15.4,13.1,59.2,62.5,10.4,100.53,9.0,1663
31,19,"Jaime Jaquez Jr,",MIA,22,34,20,14,30.0,114.3,113.7,0.7,13.8,1.66,17.1,4.3,8.5,6.4,10.3,55.6,59.3,18.9,99.35,8.7,2107
32,19,Jakob Poeltl,TOR,28,34,14,20,26.5,110.8,113.6,-2.8,12.6,1.58,20.8,10.5,21.0,15.7,13.2,68.3,67.4,14.7,100.22,11.5,1884
33,19,Jalen Brunson,NYK,27,34,19,15,36.0,119.2,116.8,2.4,28.5,2.64,21.1,1.8,9.3,5.4,8.0,53.9,58.4,27.6,98.57,13.5,2519
34,19,"Jaren Jackson Jr,",MEM,24,34,11,23,31.7,104.8,111.3,-6.5,8.8,0.82,7.3,4.0,12.9,8.3,8.9,50.3,56.8,27.1,100.84,11.2,2259
35,19,Jeremy Sochan,SAS,20,34,5,29,29.2,104.6,118.2,-13.5,19.6,1.94,23.9,4.9,13.8,9.3,12.3,47.9,51.2,18.2,103.06,7.5,2123
36,19,Josh Hart,NYK,28,34,19,15,28.3,117.0,112.6,4.4,12.9,2.54,26.0,3.7,17.6,10.6,10.2,52.5,54.3,11.6,98.56,8.5,1971
37,19,Julius Randle,NYK,29,34,19,15,35.7,119.0,116.1,2.9,20.4,1.38,15.9,5.6,20.9,13.0,11.5,51.8,56.8,28.7,99.31,13.4,2517
38,19,Kentavious Caldwell-Pope,DEN,30,34,24,10,32.2,123.3,110.7,12.5,9.9,2.79,22.5,1.5,5.1,3.3,8.1,55.1,58.8,12.4,98.19,6.0,2244
39,19,Kevon Looney,GSW,27,34,16,18,20.8,113.2,117.3,-4.1,16.7,3.22,33.3,11.8,22.7,17.2,10.3,58.6,61.4,10.2,100.16,10.2,1475
40,19,Max Strus,CLE,27,34,19,15,34.6,114.6,109.1,5.5,15.0,2.32,21.0,2.2,11.9,7.1,9.0,52.0,53.9,17.8,99.65,7.9,2440
41,19,Moritz Wagner,ORL,26,34,19,15,18.3,115.0,112.6,2.3,10.5,0.91,11.4,8.5,14.9,11.7,12.5,63.2,66.6,21.5,100.39,12.7,1297
42,19,Paolo Banchero,ORL,21,34,19,15,34.5,110.8,112.0,-1.2,22.2,1.43,16.6,3.6,17.4,10.3,11.7,50.8,55.3,28.6,100.88,13.0,2463
43,19,Pascal Siakam,TOR,29,34,14,20,34.9,116.1,114.6,1.5,21.0,2.16,18.9,4.1,14.6,9.3,8.8,55.3,59.4,25.3,99.92,12.8,2471
44,19,Peyton Watson,DEN,21,34,24,10,17.7,109.7,108.9,0.8,8.0,1.75,13.8,3.0,10.9,7.1,7.9,58.0,60.0,15.5,100.8,8.4,1250
45,19,Royce O'Neale,BKN,30,34,15,19,25.9,112.7,113.5,-0.9,16.4,3.3,28.2,3.0,14.3,8.6,8.5,52.6,53.1,13.0,100.36,7.6,1847
46,19,Scottie Barnes,TOR,22,34,14,20,35.3,112.4,114.2,-1.8,24.4,2.43,22.2,6.9,18.3,12.5,9.1,54.8,58.2,23.8,101.29,14.4,2526
47,48,Anthony Davis,LAL,30,33,17,16,35.8,113.7,112.8,0.9,15.0,1.61,13.2,9.3,23.8,16.8,8.2,56.3,61.8,26.1,102.23,17.2,2517
48,48,Bennedict Mathurin,IND,21,33,19,14,25.3,117.3,120.2,-3.0,10.1,1.26,12.2,4.2,10.9,7.5,9.7,52.4,57.4,21.8,104.5,8.7,1824
49,48,Buddy Hield,IND,31,33,19,14,25.9,122.1,117.6,4.5,11.7,1.71,16.8,2.9,9.8,6.3,9.8,56.8,58.0,19.3,105.02,7.7,1874
50,48,Cason Wallace,OKC,20,33,23,10,21.6,116.4,110.7,5.7,9.1,3.19,21.1,2.5,6.9,4.9,6.6,64.2,65.7,11.7,101.31,6.9,1494
51,48,Chet Holmgren,OKC,21,33,23,10,29.8,119.4,109.4,10.0,11.8,1.43,14.7,5.5,17.7,12.2,10.3,61.7,65.4,21.3,103.8,13.5,2117
52,48,Cole Anthony,ORL,23,33,19,14,24.9,113.9,113.5,0.3,21.3,1.95,19.8,4.5,13.3,8.9,10.2,50.9,57.0,23.8,99.39,11.5,1708
53,48,Damian Lillard,MIL,33,33,25,8,35.3,121.6,115.4,6.2,26.5,2.59,22.8,1.7,9.8,5.9,8.8,52.1,61.1,26.8,104.27,13.5,2534
54,48,Dejounte Murray,ATL,27,33,14,19,34.5,118.3,119.2,-1.0,21.7,2.42,20.2,2.2,11.2,6.5,8.4,53.0,55.9,23.8,103.03,11.1,2446
55,48,Deni Avdija,WAS,23,33,6,27,26.9,111.6,120.0,-8.4,18.6,2.54,25.1,4.1,17.0,10.6,9.9,53.9,57.0,17.6,105.44,9.9,1949
56,48,Desmond Bane,MEM,25,33,11,22,34.6,107.3,114.5,-7.2,26.2,1.88,18.3,2.4,10.3,6.2,9.8,56.4,59.5,27.9,100.23,13.3,2392
57,48,Domantas Sabonis,SAC,27,33,20,13,35.0,114.9,115.0,-0.1,32.6,2.35,28.8,9.4,27.9,18.2,12.3,60.5,62.7,22.6,100.31,16.3,2414
58,48,Harrison Barnes,SAC,31,33,20,13,30.0,115.2,115.6,-0.4,5.7,1.79,12.1,2.6,7.6,4.9,6.8,59.3,63.4,13.3,101.48,6.9,2092
59,48,Isaiah Joe,OKC,24,33,23,10,19.6,119.7,106.8,12.9,6.9,1.7,11.6,1.1,9.7,5.6,6.8,61.2,63.2,16.5,104.27,9.1,1417
60,48,Ivica Zubac,LAC,26,33,21,12,26.9,119.2,110.8,8.4,6.2,1.03,10.2,12.4,22.6,17.8,9.9,64.2,65.1,16.7,97.96,11.9,1816
61,48,Jabari Walker,POR,21,33,9,24,18.9,110.8,114.5,-3.7,6.1,0.9,9.1,8.5,20.3,13.9,10.2,52.6,57.6,16.7,100.16,10.0,1298
62,48,Jonathan Kuminga,GSW,21,33,15,18,22.1,116.4,114.6,1.8,9.7,1.04,10.3,5.7,12.5,9.1,9.8,54.4,57.9,23.4,101.42,9.3,1546
63,48,Julian Strawther,DEN,21,33,22,11,13.9,105.6,116.4,-10.8,11.3,2.4,14.6,0.8,9.4,5.0,6.1,48.4,50.0,18.7,101.37,5.9,971
64,48,Kelly Olynyk,UTA,32,33,15,18,21.9,113.9,115.9,-2.1,28.9,2.67,37.8,6.7,17.3,12.1,14.1,63.1,67.8,14.4,101.75,12.0,1528
65,48,Klay Thompson,GSW,33,33,15,18,30.2,117.4,119.7,-2.3,10.4,1.29,11.6,1.6,10.4,5.9,9.0,53.7,56.8,22.5,101.04,8.3,2102
66,48,Kyle Anderson,MIN,30,33,24,9,22.9,107.5,105.9,1.6,24.5,2.49,32.3,3.0,11.9,7.6,13.0,46.5,50.7,14.6,102.28,9.2,1602
67,48,Kyle Kuzma,WAS,28,33,6,27,31.0,111.1,124.2,-13.1,21.0,1.66,15.7,2.8,15.7,9.3,9.5,53.4,55.8,30.7,105.05,11.5,2239
68,48,Malaki Branham,SAS,20,33,5,28,22.3,107.3,121.8,-14.5,15.4,1.88,19.9,1.4,8.1,4.7,10.5,49.8,51.5,18.4,103.64,6.0,1593
69,48,Malik Beasley,MIL,27,33,23,10,29.6,120.2,113.4,6.8,5.7,2.1,12.4,2.2,10.5,6.7,5.9,65.8,66.0,13.2,104.34,7.5,2123
70,48,Matisse Thybulle,POR,26,33,9,24,23.8,109.3,114.5,-5.2,6.3,1.85,16.4,1.9,7.3,4.5,8.8,58.8,59.7,10.0,100.42,6.7,1646
71,48,Mike Conley,MIN,36,33,24,9,29.3,114.1,106.5,7.6,29.8,5.89,38.7,1.3,7.8,4.7,6.6,60.5,63.9,14.5,98.67,11.9,1994
