RANK_ID;PLAYER;TEAM;AGE;GP;W;L;MIN;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS
1;Mikal Bridges;NYK;28;26;16;10;38.4;121.3;113.3;8.1;11.5;2.15;16.5;2.5;6.6;4.6;7.6;56.3;56.8;18.6;97.93;8.0;2031
2;De'Aaron Fox;SAC;26;26;13;13;37.2;114.4;111.0;3.5;26.0;1.75;18.9;3.2;10.2;6.7;10.8;53.5;57.7;29.5;100.80;13.3;2030
3;Nikola Joki?;DEN;29;20;12;8;37.2;123.4;112.5;10.9;40.0;2.57;25.9;10.7;23.9;17.6;10.1;61.6;65.1;30.4;102.75;21.0;1599
4;Devin Booker;PHX;28;25;14;11;37.0;114.4;116.4;-1.9;27.4;2.76;21.1;3.2;6.8;5.1;7.7;51.2;58.7;27.9;99.80;12.2;1926
5;Luka Don?i?;DAL;25;20;12;8;36.9;119.3;109.7;9.6;33.5;2.36;22.4;1.9;20.0;11.2;9.5;54.0;58.0;31.8;101.75;17.0;1569
6;OG Anunoby;NYK;27;26;16;10;36.8;121.0;112.3;8.7;7.3;1.46;11.0;3.1;10.5;7.0;7.5;55.6;58.3;19.0;97.30;8.6;1939
7;Josh Hart;NYK;29;26;16;10;36.8;119.8;113.5;6.3;19.9;3.04;31.6;4.4;17.8;11.4;10.4;66.9;69.4;14.1;97.73;12.4;1948
8;Tyrese Maxey;PHI;24;17;6;11;36.7;107.6;111.8;-4.2;25.0;2.30;16.6;0.5;10.1;4.9;7.2;47.5;52.2;29.2;97.67;12.3;1274
9;Jalen Johnson;ATL;22;25;13;12;36.6;111.2;110.1;1.1;21.7;1.70;21.3;4.4;21.0;12.7;12.5;54.7;57.3;21.6;106.52;13.6;2039
10;Paolo Banchero;ORL;22;5;3;2;36.4;115.5;107.8;7.8;27.7;2.55;17.2;6.5;16.8;11.7;6.7;55.2;59.0;31.1;101.83;15.9;386
11;Jayson Tatum;BOS;26;24;19;5;36.4;120.2;107.5;12.7;25.1;1.97;17.7;1.4;21.9;11.5;9.0;54.5;59.5;30.1;99.96;16.5;1818
12;Damian Lillard;MIL;34;22;12;10;36.4;114.0;115.4;-1.4;33.3;2.52;24.4;1.6;10.5;6.2;9.7;54.8;62.2;28.2;99.74;14.9;1665
13;Keegan Murray;SAC;24;26;13;13;36.3;115.3;110.3;5.1;5.4;1.44;10.4;6.6;13.9;10.3;7.2;50.2;52.3;15.0;100.24;7.0;1965
14;Trae Young;ATL;26;26;13;13;36.1;113.4;113.4;0.0;45.6;2.64;33.1;1.7;8.9;5.2;12.5;46.6;54.4;26.5;105.68;12.6;2067
15;Anthony Edwards;MIN;23;25;14;11;35.9;111.6;106.3;5.3;19.2;1.23;13.2;1.8;12.8;7.4;10.7;56.0;59.1;30.6;97.84;13.7;1830
