PLAYER,MIN,REB%,TS%,AST%,USG%
Mikal Bridges,38.4,4.6,56.8,11.5,18.6
De'Aaron Fox,37.2,6.7,57.7,26.0,29.5
Nikola Joki?,37.2,17.6,65.1,40.0,30.4
Devin Booker,37.0,5.1,58.7,27.4,27.9
Luka Don?i?,36.9,11.2,58.0,33.5,31.8
OG Anunoby,36.8,7.0,58.3,7.3,19.0
Josh Hart,36.8,11.4,69.4,19.9,14.1
Tyrese Maxey,36.7,4.9,52.2,25.0,29.2
Jalen Johnson,36.6,12.7,57.3,21.7,21.6
Paolo Banchero,36.4,11.7,59.0,27.7,31.1
Jayson Tatum,36.4,11.5,59.5,25.1,30.1
Damian Lillard,36.4,6.2,62.2,33.3,28.2
Keegan Murray,36.3,10.3,52.3,5.4,15.0
Trae Young,36.1,5.2,54.4,45.6,26.5
Anthony Edwards,35.9,7.4,59.1,19.2,30.6
Cade Cunningham,35.9,10.0,54.6,41.5,30.5
Jamal Murray,35.8,5.6,53.1,21.7,22.1
Domantas Sabonis,35.8,18.4,70.7,24.8,21.7
Kevin Durant,35.6,9.4,63.5,17.4,29.1
DeMar DeRozan,35.6,5.5,58.6,16.5,25.0
Fred VanVleet,35.4,5.5,49.3,24.5,19.4
Michael Porter Jr.,35.4,9.7,60.5,11.3,19.6
Kyrie Irving,35.3,6.4,62.3,22.2,24.6
Jaylen Brown,35.3,8.1,55.0,20.2,29.2
Tyrese Haliburton,35.3,4.8,56.8,35.2,21.5
Anthony Davis,35.3,16.2,61.1,16.8,30.3
Giannis Antetokounmpo,35.2,16.2,63.3,34.7,36.0
LeBron James,35.0,11.4,58.1,43.0,28.2
Bilal Coulibaly,34.9,7.2,54.0,13.7,16.3
Bam Adebayo,34.8,14.9,51.4,22.7,22.1
Christian Braun,34.7,6.9,65.4,6.8,15.3
Tyler Herro,34.6,7.5,63.9,24.2,26.0
Brandon Miller,34.5,7.3,54.4,17.6,27.9
Derrick White,34.5,6.7,62.2,20.1,19.2
Shai Gilgeous-Alexander,34.4,7.4,62.4,29.2,32.0
Rudy Gobert,34.4,15.7,67.8,8.5,11.8
Jalen Brunson,34.4,4.5,62.0,33.9,28.5
Karl-Anthony Towns,34.4,20.6,64.4,14.6,27.2
Pascal Siakam,34.3,9.7,62.5,15.4,21.8
RJ Barrett,34.2,9.4,54.4,27.2,29.0
LaMelo Ball,34.1,7.6,56.4,39.3,38.5
Dyson Daniels,34.0,7.0,50.6,13.3,17.2
Trey Murphy III,33.9,6.4,55.9,10.8,21.2
James Harden,33.8,10.0,55.4,39.6,30.1
Austin Reaves,33.6,5.2,57.0,22.2,21.5
Dennis Schröder,33.6,4.5,58.8,30.7,23.1
CJ McCollum,33.6,5.2,52.9,17.3,26.4
Bradley Beal,33.4,6.4,59.4,15.6,22.4
Cam Thomas,33.4,5.1,60.6,17.9,30.9
Zach LaVine,33.4,6.3,63.1,18.0,25.0
Scottie Barnes,33.2,11.9,55.3,36.0,26.6
Franz Wagner,33.2,8.6,57.3,30.1,31.1
Brandon Ingram,33.1,8.3,56.0,28.0,30.5
Rui Hachimura,33.0,8.3,59.4,7.3,14.6
Julius Randle,33.0,10.2,59.9,20.1,25.6
Dejounte Murray,33.0,9.3,46.4,32.7,26.7
Jerami Grant,32.9,5.2,53.6,11.1,20.4
Cameron Johnson,32.7,7.0,65.2,14.3,20.2
Bennedict Mathurin,32.7,9.8,59.4,7.7,21.9
Brook Lopez,32.7,7.6,59.0,6.6,14.3
P.J. Washington,32.7,11.6,56.3,9.4,16.1
Coby White,32.6,5.3,57.7,19.9,22.5
Jalen Green,32.6,6.3,52.5,12.5,25.6
Jakob Poeltl,32.5,16.7,61.5,12.0,19.0
Herbert Jones,32.5,5.9,55.0,9.8,15.5
Norman Powell,32.4,4.8,63.8,13.0,26.5
Ivica Zubac,32.4,19.4,59.8,11.3,18.8
Gradey Dick,32.4,4.7,55.4,8.6,22.5
Victor Wembanyama,32.3,15.3,59.2,21.3,30.8
Tobias Harris,32.3,10.5,54.8,10.9,18.2
Tyus Jones,32.2,4.1,62.8,30.5,15.2
Jalen Williams,32.1,8.9,58.8,24.2,27.1
Donovan Mitchell,32.0,7.2,57.7,21.9,29.5
Jimmy Butler,31.9,8.2,64.4,23.2,20.8
Lauri Markkanen,31.9,9.6,61.2,11.3,21.6
Nikola Vu?evi?,31.7,15.0,68.6,15.5,22.4
Keyonte George,31.5,5.3,53.2,28.0,24.0
Kelly Oubre Jr.,31.5,9.1,53.2,7.2,18.1
Myles Turner,31.5,11.6,58.8,7.8,21.0
Dillon Brooks,31.3,5.4,53.2,7.4,16.7
Alperen Sengun,31.1,15.5,53.3,26.6,25.8
Zion Williamson,31.1,12.2,52.1,28.1,33.5
Stephen Curry,30.9,7.9,62.3,30.0,27.8
Paul George,30.9,8.6,52.5,29.0,25.4
Anfernee Simons,30.8,4.0,54.2,24.6,24.3
Jordan Poole,30.8,3.5,58.3,27.2,27.3
Ochai Agbaji,30.8,6.5,63.7,9.0,13.1
Shaedon Sharpe,30.8,5.6,53.2,13.2,24.1
Jabari Smith Jr.,30.7,10.1,56.8,4.5,14.8
Evan Mobley,30.7,14.5,63.3,12.3,22.8
Jrue Holiday,30.6,6.4,56.9,18.7,17.4
Darius Garland,30.5,4.2,61.8,29.7,26.2
Jalen Suggs,30.4,6.9,53.5,21.4,25.2
Toumani Camara,30.4,8.1,53.8,9.9,13.9
Jaden Ivey,30.3,6.5,54.2,21.6,25.9
Kentavious Caldwell-Pope,30.3,3.5,52.8,8.0,11.8
Jaden McDaniels,30.2,6.9,53.2,8.8,15.4
Deandre Ayton,30.2,15.9,57.3,6.8,19.6
Isaiah Hartenstein,30.1,18.8,59.0,19.2,17.8
Ayo Dosunmu,30.0,5.9,60.6,20.9,16.3
Grant Williams,29.9,8.3,59.6,10.7,14.6
